,genres,X_lem
4358,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",[]
4359,"['Action & Adventure', 'Classics', 'Drama', 'Science Fiction & Fantasy', 'Romance']",[]
4360,"['Comedy', 'Romance']",[]
4361,"['Action & Adventure', 'Drama']","['casualty', 'war', 'take', 'harrowing', 'plunge', 'vietnam', 'war', 'well-acted', 'ensemble', 'piece', 'rank', 'among', 'director', 'brian', 'de', 'palma', 'mature', 'effort']"
4362,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Western']",[]
4363,"['Action & Adventure', 'Mystery & Suspense']",[]
4364,"['Comedy', 'Kids & Family']","['filled', 'double', 'entendres', 'potty', 'humor', 'cat', 'fall', 'flat']"
4365,"['Action & Adventure', 'Comedy', 'Drama']",[]
4366,"['Classics', 'Comedy', 'Drama']","['catch-22', 'take', 'entertainingly', 'chaotic', 'aim', 'insanity', 'armed', 'conflict', 'supported', 'terrific', 'cast', 'smart', 'funny', 'work', 'buck', 'henry', 'mike', 'nichols']"
4367,"['Drama', 'Musical & Performing Arts', 'Mystery & Suspense']","['stranger', 'political', 'thriller', 'director', 'phillip', 'noyce', 'tackle', 'apartheid', 'terrorism', 'experienced', 'gusto', 'derek', 'luke', 'tim', 'robbins', 'hand', 'nuanced', 'performance']"
4368,"['Comedy', 'Drama', 'Romance']","['romantic', 'dramedy', 'boring', 'stock', 'character', 'contrived', 'situation']"
4369,"['Drama', 'Mystery & Suspense']",[]
4370,"['Action & Adventure', 'Drama']","['help', 'strong', 'performance', 'leonardo', 'dicaprio', 'real-life', 'wunderkind', 'con', 'artist', 'frank', 'abagnale', 'steven', 'spielberg', 'craft', 'film', 'stylish', 'breezily', 'entertaining', 'surprisingly', 'sweet']"
4371,"['Action & Adventure', 'Kids & Family']","['unimaginative', 'heist', 'movie', 'aimed', 'strictly', 'preteen', 'set']"
4372,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",[]
4373,"['Comedy', 'Romance']",[]
4374,"['Documentary', 'Special Interest']",[]
4375,"['Art House & International', 'Comedy', 'Drama']","['witty', 'movie', 'succeeds', 'modest', 'teen', 'coming-of-age', 'story', 'satirical', 'microcosm', 'italy', 'political', 'climate']"
4376,"['Art House & International', 'Drama']",[]
4377,['Comedy'],"['smart', 'suitably', 'nasty', 'well-cast', 'catfight', 'land', 'narrative', 'punch', 'fast', 'hard-hitting', 'physical', 'violence', 'doled', 'onscreen']"
4378,"['Documentary', 'Drama', 'Special Interest']","['catfish', 'may', 'tread', 'line', 'real-life', 'drama', 'crass', 'exploitation', 'little', 'unsteadily', 'viewer', 'taste', 'timely', 'premise', 'tightly', 'wound', 'mystery', 'make', 'gripping', 'documentary']"
4379,"['Comedy', 'Drama', 'Musical & Performing Arts']","['despite', 'fur-midable', 'cast', 'cat', 'adaptation', 'clawful', 'mistake', 'leave', 'viewer', 'begging', 'put', 'mew-sery']"
4380,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Romance']","['great', 'concept', 'movie', 'fails', 'develop', 'character', 'joke', 'hit-or-miss']"
4381,"['Action & Adventure', 'Comedy', 'Kids & Family']","['dull', 'unfunny', 'inexplicable', 'sequel', 'offer', 'little', 'spectacle', 'digitally', 'rendered', 'talking', 'animal', 'celebrity', 'voice']"
4382,"['Animation', 'Kids & Family']","['cat', ""n't"", 'dance', 'easily', 'entertain', 'all-ages', 'audience', 'thanks', 'colorful', 'animation', 'sharp', 'humor', 'catchy', 'soundtrack']"
4383,"['Comedy', 'Horror', 'Mystery & Suspense']","['effective', 'knowingly', 'silly', 'stephen', 'king', 'anthology', 'combine', 'comedy', 'terror']"
4384,"['Comedy', 'Drama']","['cat', 'meow', 'deliciously', 'evoked', 'period', 'piece', 'whodunit']"
4385,"['Art House & International', 'Musical & Performing Arts']",[]
4386,['Documentary'],[]
4387,"['Action & Adventure', 'Drama']","['halle', 'berry', 'lone', 'bright', 'spot', 'even', 'ca', ""n't"", 'save', 'laughable', 'action', 'thriller']"
4388,"['Art House & International', 'Horror']",[]
4389,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",[]
4390,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",[]
4391,"['Art House & International', 'Drama']",[]
4392,"['Classics', 'Drama', 'Romance']","['though', 'solidly', 'acted', 'pleasant', 'look', 'cavalcade', 'lack', 'cohesion', 'sacrifice', 'true', 'emotion', 'mawkishness']"
4393,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']","['despite', 'stylized', 'impressive', 'set', 'horror-monster', 'movie', 'mish-mash', 'suffers', 'endless', 'cliche', 'wildly', 'implausible', 'plotlines']"
4394,"['Documentary', 'Special Interest']","['hauntingly', 'filmed', 'brimming', 'herzog', 'infectious', 'enthusiasm', 'cave', 'forgotten', 'dream', 'fascinating', 'triumph']"
4395,"['Art House & International', 'Drama', 'Special Interest']","['sparse', 'hauntingly', 'beautiful', 'journey', 'across', 'continent', 'culture']"
4396,"['Action & Adventure', 'Comedy', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",[]
4397,"['Comedy', 'Romance']",[]
4398,['Comedy'],[]
4399,"['Drama', 'Musical & Performing Arts']","['hey', '!', 'ho', '!', '!']"
4400,['Comedy'],"['idea', 'behind', 'john', 'water', 'latest', 'much', 'potential', 'movie', 'end', 'sloppy', 'underdeveloped', 'term', 'script', 'direction', 'also', 'today', 'standard', 'fails', 'shock']"
4401,['Comedy'],"['conventional', 'midwestern', 'setting', 'cedar', 'rapid', 'boast', 'terrific', 'cast', 'script', 'deftly', 'blend', 'r-rated', 'raunch', 'endearing', 'sweetness']"
4402,"['Comedy', 'Drama']","[""n't"", 'subvert', 'genre', 'incisively', 'think', 'celeste', 'jesse', 'forever', 'shrewd', 'rom-com', 'benefit', 'likable', 'cast', 'trumpet', 'arrival', 'rashida', 'jones', 'bona', 'fide', 'big', 'screen', 'talent']"
4403,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",[]
4404,['Horror'],"['shoddily', 'crafted', 'devoid', 'suspense', 'cell', 'squanders', 'capable', 'cast', 'stephen', 'king', 'once-prescient', 'source', 'material', 'bland', 'rehash', 'zombie', 'cliche']"
4405,['Horror'],[]
4406,['Comedy'],[]
4407,"['Action & Adventure', 'Mystery & Suspense']","['though', 'gimmicky', 'occasionally', 'feel', 'like', 'high-end', 'cell', 'phone', 'ad', 'cellular', 'also', 'energetic', 'twisty', 'thriller']"
4408,"['Documentary', 'Television', 'Gay & Lesbian']","['celluloid', 'closet', 'take', 'thought-provoking', 'look', 'decade', 'omission', 'misrepresentation', 'endured', 'gay', 'community', 'mainstream', 'cinema']"
4409,['Comedy'],[]
4410,"['Comedy', 'Documentary']",[]
4411,['Comedy'],"['fails', 'challenge', 'well-established', 'convention', 'storyline', 'cemetery', 'junction', 'benefit', 'genuine', 'warmth', 'script', 'well', 'refusal', 'give', 'cheap', 'nostalgia']"
4412,"['Art House & International', 'Drama', 'Romance']","['tease', 'movie', ""n't"", 'say', 'money', 'ca', ""n't"", 'buy', 'love']"
4413,"['Drama', 'Musical & Performing Arts']","['viewer', 'willing', 'sit', 'soapy', 'plot', 'contrivance', 'see', 'excellent', 'dancing', 'might', 'enjoy', 'center', 'stage', ';', 'everyone', 'else', 'still', 'always', 'fame']"
4414,['Mystery & Suspense'],"['survival', 'thriller', 'largely', 'bereft', 'thrill', 'centigrade', 'may', 'leave', 'audience', 'feeling', 'hopelessly', 'trapped', 'main', 'character']"
4415,"['Art House & International', 'Drama']","['director', 'salles', 'transcends', 'road-movie', 'clichés', 'craft', 'film', 'moving', 'universal']"
4416,"['Action & Adventure', 'Comedy']","['kevin', 'hart', 'dwayne', 'johnson', 'make', 'well-matched', 'comic', 'foil', 'helping', 'central', 'intelligence', 'overcome', 'script', 'coast', 'considerable', 'chemistry']"
4417,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","['bloody', 'geyser', 'neil', 'marshall', 'typically', 'stylish', 'b-movie', 'action', 'centurion', 'focused', 'hacking', 'slashing', 'deliver', 'original', 'dialogue', 'interesting', 'character']"
4418,['Comedy'],[]
4419,['Drama'],"['certain', 'woman', 'demonstrates', 'writer-director', 'kelly', 'reichardt', 'gift', 'telling', 'story', 'ordinary', 'people', 'uncommon', 'empathy', 'skill']"
4420,"['Art House & International', 'Drama']","['main', 'star', 'absolutely', 'perfect', 'absorbing', 'existential', 'drama', 'dissects', 'human', 'relationship']"
4421,['Drama'],"['awe', 'subject', 'great', 'work', 'present', 'human', 'cesar', 'chávez', 'settle', 'trite', 'hagiography']"
4422,"['Horror', 'Mystery & Suspense']",[]
4423,"['Horror', 'Mystery & Suspense']",[]
4424,['Mystery & Suspense'],[]
4425,['Comedy'],[]
4426,"['Art House & International', 'Drama']",[]
4427,"['Art House & International', 'Comedy']","['chalet', 'girl', 'light', 'comedic', 'fun', 'geared', 'teenage', 'girl', 'featuring', 'charming', 'performance', 'felicity', 'jones']"
4428,"['Comedy', 'Drama']","['chalk', 'approach', 'potentially', 'rich', 'subject', 'matter', 'light', 'touch', 'still', 'emerges', 'humorous', 'heartfelt', 'tribute', 'noble', 'profession']"
4429,"['Drama', 'Mystery & Suspense']",[]
4430,['Mystery & Suspense'],[]
4431,"['Documentary', 'Special Interest']",[]
4432,"['Art House & International', 'Comedy']","['entertaining', 'mystery', 'also', 'rich', 'setting', 'character', 'detail', 'chan', 'missing', 'suggests', 'thrilling', 'potential', 'director/co-writer', 'wayne', 'wang']"
4433,"['Comedy', 'Science Fiction & Fantasy', 'Romance']",[]
4434,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama']","['thin', 'plot', 'disguised', 'high', 'octane', 'dancing', 'action', 'bollywood', 'crossover', 'comedy']"
4435,['Drama'],[]
4436,"['Comedy', 'Drama']",[]
4437,"['Horror', 'Mystery & Suspense']","['george', 'c.', 'scott', 'somber', 'performance', 'give', 'haunted', 'house', 'horror', 'moving', 'soul', 'go', 'along', 'harrowing', 'scare']"
4438,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","['though', 'may', 'find', 'conclusion', 'unsatisfying', 'changing', 'lane', 'tense', 'well-crafted', 'exploration', 'meaty', 'ethical', 'dilemma']"
4439,['Drama'],[]
4440,"['Comedy', 'Drama']","['ryan', 'reynolds', 'emily', 'mortimer', 'ultimately', 'chaos', 'theory', 'overly', 'conventional', 'dramedy']"
4441,['Drama'],"['chaplin', 'boast', 'terrific', 'performance', 'robert', 'downey', 'jr.', 'title', 'role', ""n't"", 'enough', 'overcome', 'formulaic', 'biopic', 'pale', 'comparison', 'subject', 'classic', 'film']"
4442,['Mystery & Suspense'],"['chappaquidick', 'ca', ""n't"", 'help', 'leaving', 'true', 'story', 'intriguing', 'question', 'unanswered', 'bolstered', 'outstanding', 'work', 'jason', 'clarke', 'central', 'role']"
4443,['Action & Adventure'],"['chappie', 'boast', 'big', 'idea', 'visual', 'panache', 'director', 'neill', 'blomkamp', 'become', 'known', 'sadly', 'narrative', 'shortcoming']"
4444,"['Action & Adventure', 'Classics', 'Drama']",[]
4445,"['Art House & International', 'Drama', 'Sports & Fitness']","['decidedly', 'slower', 'le', 'limber', 'olympic', 'runner', 'center', 'story', 'film', 'nevertheless', 'manages', 'make', 'effectively', 'stirring', 'use', 'spiritual', 'patriotic', 'theme']"
4446,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",[]
4447,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","['closer', 'source', 'material', '1971', 'willy', 'wonka', '&', 'chocolate', 'factory', 'charlie', 'chocolate', 'factory', 'people', 'like', 'chocolate', 'visually', 'appealing', 'dark']"
4448,['Comedy'],"['engaging', 'performance', 'marked', 'inconsistent', 'tone', 'charlie', 'bartlett', 'mixed', 'bag', 'clever', 'teen', 'angst', 'comedy', 'muddled', 'storytelling']"
4449,"['Animation', 'Comedy', 'Kids & Family']",[]
4450,"['Animation', 'Drama', 'Kids & Family']",[]
4451,['Drama'],[]
4452,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",[]
4453,"['Action & Adventure', 'Comedy']","['shia', 'labeouf', 'clearly', 'relish', 'role', 'charlie', 'countryman', 'effort', 'ca', ""n't"", 'salvage', 'movie', 'shallow', 'script', 'overstuffed', 'direction']"
4454,['Drama'],"['charlie', 'say', 'approach', 'infamous', 'subject', 'welcome', 'new', 'angle', 'suffers', 'disappointing', 'lack', 'depth', 'treatment', 'story']"
4455,['Drama'],"['zac', 'efron', 'give', 'charlie', 'st', 'cloud', 'shallow', 'cloying', 'offer', 'much', 'eye', 'candy', 'fan']"
4456,"['Comedy', 'Drama']","['charlie', 'wilson', 'war', 'manages', 'entertain', 'inform', 'audience', 'thanks', 'witty', 'script', 'talented', 'cast', 'power', 'player']"
4457,"['Action & Adventure', 'Comedy']","['mixing', 'tongue-in-cheek', 'cheesecake', 'glossy', 'action', 'set', 'piece', 'charlie', 'angel', 'slick', 'resonably', 'fun', 'despite', 'lack', 'originality']"
4458,"['Action & Adventure', 'Comedy']","['earnest', 'energetic', 'bit', 'uneven', 'elizabeth', 'bank', 'pulpy', 'charlie', 'angel', 'add', 'new', 'flair', 'franchise', 'fun', 'performance', 'three', 'lead']"
4459,"['Action & Adventure', 'Comedy']","['eye', 'candy', ""n't"", 'require', 'movie', 'plot', 'make', 'sense']"
4460,"['Drama', 'Romance']","['dull', 'adaptation', 'sebastian', 'faulk', 'novel', 'despite', 'gorgeous', 'cinematography', 'cate', 'blanchett', 'best', 'effort']"
4461,"['Documentary', 'Special Interest', 'Television']",[]
4462,"['Animation', 'Drama', 'Kids & Family']","['kid', 'entertained', 'straightforward', 'plot', 'cute', 'animal', 'adult', 'charmed', 'quiet', 'humble', 'production', 'fine', 'translation', 'e.b', 'white', 'genteel', 'prose']"
4463,['Documentary'],[]
4464,"['Art House & International', 'Drama', 'Romance']",[]
4465,['Comedy'],[]
4466,"['Comedy', 'Romance']","['although', 'chasing', 'amy', 'depiction', 'queer', 'sexuality', 'frustratingly', 'clumsy', 'handle', 'array', 'thorny', 'theme', 'mixture', 'sensitivity', 'raw', 'honesty', 'writer-director', 'kevin', 'smith', 'signature', 'raunchy', 'humor']"
4467,['Documentary'],"['chasing', 'coral', 'offer', 'breathtakingly', 'beautiful', 'look', 'earth', 'incredible', 'natural', 'wonder', 'delivering', 'sobering', 'warning', 'uncertain', 'future']"
4468,"['Documentary', 'Special Interest']","['chasing', 'ice', 'capture', 'urgency', 'climate', 'change', 'prevailing', 'entertainment', 'thanks', 'awe-inspiring', 'scenery', 'james', 'balog', 'charisma']"
4469,"['Action & Adventure', 'Comedy', 'Drama', 'Romance']","['formulaic', 'comfort', 'food', 'teen', 'crowd']"
4470,"['Documentary', 'Special Interest']","['chasing', 'madoff', 'admirably', 'highlight', 'harry', 'markopolos', 'perilous', 'crusade', 'one', 'history', 'biggest', 'fraud', 'documentary', 'disinterest', 'madoff', 'make', 'feel', 'like', 'half', 'story']"
4471,['Drama'],"['sweet', 'gentle', 'affably', 'modest', 'chasing', 'maverick', 'ultimately', 'pulled', 'unconvincing', 'script', 'puzzling', 'lack', 'energy']"
4472,['Comedy'],"['obnoxious', 'tone', 'unable', 'provide', 'trio', 'star', 'decent', 'quip', 'chasing', 'papi', 'audience', 'running', 'direction']"
4473,"['Drama', 'Mystery & Suspense']",[]
4474,['Documentary'],"['chasing', 'trane', ':', 'john', 'coltrane', 'documentary', 'ca', ""n't"", 'hope', 'truly', 'capture', 'subject', 'freewheeling', 'creative', 'spirit', 'still', 'engaging', 'overview', 'fan', 'well', 'uninitiated']"
4475,"['Comedy', 'Horror']",[]
4476,"['Drama', 'Mystery & Suspense']",[]
4477,['Drama'],[]
4478,['Documentary'],"['chavela', 'pay', 'affecting', 'tribute', 'subject', 'absorbing', 'documentary', 'outline', 'remarkable', 'life', 'effectively', 'communicating', 'power', 'lingering', 'impact', 'art']"
4479,['Drama'],"['second', 'part', 'soderbergh', 'biopic', 'dark', 'hypnotic', 'sometimes', 'frustrating', 'portrait', 'warrior', 'decline', 'terrific', 'central', 'performance', 'del', 'toro']"
4480,['Comedy'],[]
4481,"['Comedy', 'Mystery & Suspense']","['gleefully', 'nasty', 'darkly', 'hilarious', 'cheap', 'thrill', 'life', 'title', 'best', 'possible', 'way']"
4482,"['Comedy', 'Kids & Family']","['family', 'twelve', 'child', 'much', 'chaos', 'ensues', 'little', 'hilarity']"
4483,"['Classics', 'Comedy', 'Kids & Family']",[]
4484,"['Comedy', 'Kids & Family']","['sequel', 'remake', 'cheaper', '2', 'waste', 'solid', 'cast', 'scene', 'over-the-top', 'predictable', 'humor']"
4485,['Comedy'],[]
4486,"['Comedy', 'Musical & Performing Arts']",[]
4487,"['Comedy', 'Drama']",[]
4488,"['Action & Adventure', 'Kids & Family']",[]
4489,"['Comedy', 'Kids & Family', 'Television']",[]
4490,['Comedy'],"['chef', 'charming', 'cast', 'sharp', 'funny', 'script', 'add', 'enough', 'spice', 'make', 'feel-good', 'comedy', 'flavorful', 'familiar', 'treat']"
4491,['Documentary'],"['chef', 'flynn', 'might', 'cut', 'little', 'deeper', 'subject', 'story', 'entertaining', 'overview', 'precocious', 'talent', 'rise', 'acclaim', 'still', 'enough', 'flavor', 'satisfy']"
4492,"['Documentary', 'Special Interest']","['abel', 'ferrara', 'loving', 'portrait', 'new', 'york', 'chelsea', 'hotel', 'le', 'interested', 'telling', 'story', 'famous', 'resident', 'exploring', 'magic', 'place', 'housed', 'many', 'moment', 'rock', 'history']"
4493,['Comedy'],[]
4494,"['Art House & International', 'Drama']","['meandering', 'chelsea', 'wall', 'pretentious', 'poetic']"
4495,"['Documentary', 'Special Interest']",[]
4496,"['Action & Adventure', 'Comedy', 'Romance']",[]
4497,"['Art House & International', 'Drama', 'Romance']","['too-short', 'script', 'romance', 'lacking', 'heat', 'detracts', 'otherwise', 'haughty', 'charmer']"
4498,"['Comedy', 'Drama', 'Mystery & Suspense']","['different', 'genre', 'cherish', ""n't"", 'mesh', 'well', 'quirkiness', 'sometimes', 'feel', 'forced']"
4499,"['Drama', 'Horror']","['despite', 'interesting', 'premise', 'spooky', 'atmospherics', 'chernobyl', 'diary', 'mostly', 'short', 'suspense', 'originality']"
4500,"['Comedy', 'Drama']",[]
4501,"['Action & Adventure', 'Science Fiction & Fantasy']","['cherry', '2000', 'certain', 'low-budget', 'appeal', 'ardent', 'genre', 'enthusiast', 'likely', 'find', 'silly', 'story', 'uneven', 'performance', 'unintentionally', 'amusing']"
4502,"['Art House & International', 'Horror']",[]
4503,"['Art House & International', 'Documentary', 'Drama', 'Horror']",[]
4504,"['Classics', 'Western']",[]
4505,['Drama'],"['chi-raq', 'urgently', 'topical', 'satisfyingly', 'ambitious', 'wildly', 'uneven', 'contains', 'spike', 'lee', 'smartest', 'sharpest', 'all-around', 'entertaining', 'late-period', 'work']"
4506,['Documentary'],[]
4507,"['Comedy', 'Drama', 'Musical & Performing Arts']","['rousing', 'energetic', 'adaptation', 'broadway', 'musical', 'chicago', 'succeeds', 'level', 'pure', 'spectacle', 'provides', 'surprising', 'level', 'depth', 'humor', 'well']"
4508,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']","['disney', 'expends', 'effort', 'technical', 'presentation', 'crafting', 'original', 'storyline']"
4509,['Documentary'],[]
4510,"['Action & Adventure', 'Animation', 'Comedy', 'Drama', 'Kids & Family']","['chicken', 'run', 'charm', 'nick', 'park', 'wallace', '&', 'gromit', 'something', 'everybody', 'voice', 'acting', 'fabulous', 'slapstick', 'brilliant', 'action', 'sequence', 'spectacular']"
4511,"['Art House & International', 'Comedy', 'Drama']","['whimsical', 'melancholy', 'chicken', 'plum', 'visually', 'striking', 'dreamily', 'compelling', 'despite', 'occasional', 'narrative', 'misstep']"
4512,"['Animation', 'Drama']","['aimed', 'adult', 'animated', 'zest', 'chico', '&', 'rita', 'romantic', 'delight', 'packed', 'cultural', 'detail', 'flavor']"
4513,"['Drama', 'Mystery & Suspense']","['gripping', 'story', 'heart', 'child', '44', 'solid', 'performance', 'tom', 'hardy', 'lead', 'still', 'add', 'would-be', 'thriller', 'lack', 'sufficient', 'thrill']"
4514,"['Drama', 'Mystery & Suspense']","['obviously', 'reverent', 'adaptation', 'fails', 'make', 'case', 'source', 'material', 'turned', 'movie', 'child', 'god', 'find', 'director', 'james', 'franco', 'outmatched', 'cormac', 'mccarthy', 'novel']"
4515,"['Drama', 'Musical & Performing Arts', 'Romance']","['child', 'lesser', 'god', 'transcends', 'transparently', 'noble', 'goal', 'thanks', 'pair', 'absorbing', 'performance', 'william', 'hurt', 'marlee', 'matlin']"
4516,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama']",[]
4517,"['Art House & International', 'Drama']","['beautifully', 'photographed', 'dramatically', 'flat', 'war', 'drama', 'recount', 'important', 'chapter', 'history', 'little', 'cinematic', 'freshness']"
4518,['Drama'],[]
4519,"['Art House & International', 'Documentary', 'Drama']",[]
4520,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']","['child', 'men', 'work', 'every', 'level', ':', 'violent', 'chase', 'thriller', 'fantastical', 'cautionary', 'tale', 'sophisticated', 'human', 'drama', 'society', 'struggling', 'live']"
4521,"['Art House & International', 'Classics', 'Drama', 'Romance']","['strong', 'performance', 'abound', 'carne', 'wit', 'grace', 'evident', 'masterful', '(', 'long', ')', 'french', 'epic']"
4522,['Horror'],[]
4523,"['Horror', 'Mystery & Suspense']",[]
4524,['Horror'],[]
4525,['Comedy'],[]
4526,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']","['animated', 'adventure', 'perhaps', 'best', 'appreciated', 'visual', 'experience', 'child', 'sea', 'strikingly', 'lovely', 'le', 'satisfying', 'narrative', 'level']"
4527,"['Comedy', 'Drama', 'Horror', 'Mystery & Suspense']",[]
4528,"['Documentary', 'Special Interest']",[]
4529,"['Classics', 'Drama']",[]
4530,"['Horror', 'Mystery & Suspense']","['child', 'play', 'occasionally', 'stumble', 'across', 'tonal', 'tightrope', 'comedy', 'horror', 'genuinely', 'creepy', 'monster', 'deft', 'direction', 'tom', 'holland', 'make', 'chiller', 'stand', 'shelf']"
4531,"['Horror', 'Mystery & Suspense']",[]
4532,['Horror'],"['child', 'play', 'update', ""'80s"", 'horror', 'icon', 'internet', 'thing', 'era', 'predictably', 'gruesome', 'generally', 'entertaining', 'result']"
4533,"['Horror', 'Mystery & Suspense']",[]
4534,['Drama'],"[""n't"", 'necessarily', 'easy', 'watch', 'thanks', 'netzer', 'interesting', 'direction', 'riveting', 'performance', 'gheorghiu', 'child', 'pose', 'rewarding']"
4535,"['Action & Adventure', 'Mystery & Suspense']","['claiming', 'fails', 'every', 'level', 'critic', 'almost', 'nothing', 'good', 'say', 'movie']"
4536,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']",[]
4537,"['Drama', 'Science Fiction & Fantasy']",[]
4538,"['Comedy', 'Drama']","['classic', 'story', 'adapted', 'filmmaker', 'near', 'creative', 'peak', 'chime', 'midnight', 'unites', 'welles', 'shakespeare', 'powerfully', 'distills', 'best']"
4539,"['Art House & International', 'Documentary', 'Special Interest']",[]
4540,"['Drama', 'Mystery & Suspense']",[]
4541,"['Action & Adventure', 'Classics', 'Drama', 'Romance']",[]
4542,"['Drama', 'Mystery & Suspense']","['gripping', 'theme', 'stellar', 'cast', 'china', 'syndrome', 'rare', 'thriller', 'thought-provoking', 'tense']"
4543,"['Classics', 'Drama', 'Mystery & Suspense']","['bruised', 'cynical', 'decade', 'produced', 'noir', 'classic', 'benefit', 'robert', 'towne', 'brilliant', 'screenplay', 'director', 'roman', 'polanski', 'steady', 'hand', 'wonderful', 'performance', 'jack', 'nicholson', 'faye', 'dunaway']"
4544,['Drama'],[]
4545,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",[]
4546,"['Comedy', 'Drama', 'Romance']","['pleasantly', 'easygoing', 'consistently', 'funny', 'chinese', 'puzzle', 'offer', 'suitably', 'endearing', 'conclusion', 'cédric', 'klapisch', 'trilogy', 'xavier']"
4547,['Action & Adventure'],[]
4548,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",[]
4549,"['Action & Adventure', 'Comedy', 'Drama']","['chip', 'abandon', 'endearing', 'innocence', 'source', 'material', 'using', 'titular', 'cop', 'show', 'premise', 'setup', 'aggressively', 'lowbrow', 'gag', 'prove', 'mildly', 'arresting', 'best']"
4550,"['Classics', 'Western']",[]
4551,"['Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",[]
4552,"['Art House & International', 'Drama']","['eric', 'rohmer', 'chloe', 'afternoon', ""n't"", 'need', 'sparkly', 'cinematic', 'dross', 'discover', 'unspoken', 'universal', 'truth', 'relationship', 'love', 'filmmaking']"
4553,"['Comedy', 'Drama']",[]
4554,"['Comedy', 'Romance']","['chocolat', 'charmingly', 'light-hearted', 'fable', 'lovely', 'performance', 'binoche']"
4555,"['Comedy', 'Drama']","['bolstered', 'strong', 'performance', 'sam', 'rockwell', 'anjelica', 'huston', 'choke', 'struggle', 'capture', 'tone', 'chuck', 'palahniuk', 'novel']"
4556,['Drama'],"['quirky', 'animated', 'interlude', 'fail', 'lift', 'dull', 'u', 'immigrant', 'indie', 'introverted', 'torpid', 'state']"
4557,['Comedy'],[]
4558,['Drama'],[]
4559,"['Drama', 'Mystery & Suspense']","['eric', 'bana', 'performance', 'charming', 'twisted', 'chopper', 'highlight', 'disturbing', 'portrait', 'australia', 'notorious', 'author/criminal']"
4560,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",[]
4561,"['Comedy', 'Drama']",[]
4562,"['Art House & International', 'Drama', 'Romance']","['predictable', 'low-key', 'heartwarmer', 'manages', 'uplifting', 'without', 'overdoing', 'sentiment']"
4563,"['Comedy', 'Drama', 'Musical & Performing Arts']","['stage', 'chorus', 'line', 'pulled', 'back', 'curtain', 'reveal', 'hope', 'fear', 'showbiz', 'striver', 'energy', 'urgency', 'lost', 'transition', 'big', 'screen']"
4564,['Comedy'],[]
4565,"['Documentary', 'Musical & Performing Arts', 'Special Interest', 'Gay & Lesbian']","['chris', 'paint', 'affecting', 'enlightening', 'portrait', 'one-of-a-kind', 'love', 'affair']"
4566,"['Comedy', 'Documentary']",[]
4567,['Comedy'],"['chris', 'rock', 'reasserts', 'credential', 'one', 'comedy', 'preeminent', 'figure', 'tamborine', 'introspective', 'standup', 'act', 'delivered', 'fresh', 'sensitivity', 'trademark', 'exuberance']"
4568,"['Horror', 'Mystery & Suspense']","['crack', 'starting', 'show', 'john', 'carpenter', 'directorial', 'instinct', 'christine', 'nonetheless', 'silly', 'zippy', 'fun']"
4569,['Drama'],"['rising', 'strength', 'rebecca', 'hall', 'gripping', 'performance', 'christine', 'offer', 'empathetic', 'look', 'subject', 'public', 'career', 'painful', 'private', 'life']"
4570,"['Animation', 'Kids & Family']",[]
4571,['Comedy'],[]
4572,"['Horror', 'Mystery & Suspense']",[]
4573,['Drama'],[]
4574,"['Comedy', 'Kids & Family']","['mirthless', 'movie', 'fresh', 'last', 'year', 'fruit', 'cake', 'christmas', 'kranks', 'coarse', 'garish', 'comedy', 'promotes', 'conformity']"
4575,"['Action & Adventure', 'Comedy', 'Kids & Family']","['christopher', 'robin', 'may', 'equal', 'a.a.', 'milne', 'story', 'animated', 'disney', 'adaptation', 'prove', 'sweet', 'enough', 'audience', 'seeking', 'little', 'childhood', 'magic']"
4576,['Drama'],"['chronic', 'demand', 'patience', 'viewer', 'yield', 'rich', 'dividend', 'affecting', 'story', 'committed', 'starring', 'performance', 'tim', 'roth']"
4577,"['Comedy', 'Drama']",[]
